id	chromosom	version	taxon	definition	organism	kingdom	phylum	class	order	family	genus	species
NC_009617	NC_009617	NC_009617.1	290402	Clostridium beijerinckii NCIMB 8052, complete genome.	Clostridium beijerinckii NCIMB 8052	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii	
NC_009648	NC_009648	NC_009648.1	272620	Klebsiella pneumoniae subsp. pneumoniae MGH 78578, complete	Klebsiella pneumoniae subsp. pneumoniae MG	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	
NC_009654	NC_009654	NC_009654.1	400668	Marinomonas sp. MWYL1, complete genome.	Marinomonas sp. MWYL1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	null	
NC_009659	NC_009659	NC_009659.1	375286	Janthinobacterium sp. Marseille, complete genome.	Janthinobacterium sp. Marseille	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Janthinobacterium	null	
NC_009664	NC_009664	NC_009664.2	266940	Kineococcus radiotolerans SRS30216, complete genome.	Kineococcus radiotolerans SRS30216	Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Kineococcus	Kineococcus radiotolerans	
NC_009667	NC_009667,NC_009668	NC_009667.1,NC_009668.1	439375	Ochrobactrum anthropi ATCC 49188 chromosome 1, complete sequence.	Ochrobactrum anthropi ATCC 49188	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Ochrobactrum	Ochrobactrum anthropi	
NC_009674	NC_009674	NC_009674.1	315749	Bacillus cytotoxicus NVH 391-98, complete genome.	Bacillus cytotoxicus NVH 391-98	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cytotoxicus	
NC_009675	NC_009675	NC_009675.1	404589	Anaeromyxobacter sp. Fw109-5, complete genome.	Anaeromyxobacter sp. Fw109-5	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	null	
NC_009698	NC_009698	NC_009698.1	441771	Clostridium botulinum A str. Hall chromosome, complete genome.	Clostridium botulinum A str. Hall	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	
NC_009706	NC_009706	NC_009706.1	431943	Clostridium kluyveri DSM 555, complete genome.	Clostridium kluyveri DSM 555	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium kluyveri	
NC_009712	NC_009712	NC_009712.1	456442	Candidatus Methanoregula boonei 6A8, complete genome.	Methanoregula boonei 6A8	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula boonei	
NC_009715	NC_009715	NC_009715.1	360105	Campylobacter curvus 525.92, complete genome.	Campylobacter curvus 525.92	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter curvus	
NC_009720	NC_009720	NC_009720.1	78245	Xanthobacter autotrophicus Py2, complete genome.	Xanthobacter autotrophicus Py2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Xanthobacter	Xanthobacter autotrophicus	
NC_009725	NC_009725	NC_009725.1	326423	Bacillus amyloliquefaciens subsp. plantarum str. FZB42, complete	Bacillus methylotrophicus FZB42	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus methylotrophicus	
NC_009792	NC_009792	NC_009792.1	290338	Citrobacter koseri ATCC BAA-895, complete genome.	Citrobacter koseri ATCC BAA-895	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	Citrobacter koseri	
NC_009802	NC_009802	NC_009802.1	360104	Campylobacter concisus 13826, complete genome.	Campylobacter concisus 13826	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter concisus	
NC_009832	NC_009832	NC_009832.1	399741	Serratia proteamaculans 568, complete genome.	Serratia proteamaculans 568	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia proteamaculans	
NC_009848	NC_009848	NC_009848.2	315750	Bacillus pumilus SAFR-032, complete genome.	Bacillus pumilus SAFR-032	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus pumilus	
NC_009943	NC_009943	NC_009943.1	96561	Desulfococcus oleovorans Hxd3, complete genome.	Desulfococcus oleovorans Hxd3	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfococcus	Desulfococcus oleovorans	
NC_009953	NC_009953	NC_009953.1	391037	Salinispora arenicola CNS-205, complete genome.	Salinispora arenicola CNS-205	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Salinispora	Salinispora arenicola	
NC_010001	NC_010001	NC_010001.1	357809	Clostridium phytofermentans ISDg, complete genome.	Lachnoclostridium phytofermentans ISDg	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	Lachnoclostridium phytofermentans	
NC_010002	NC_010002	NC_010002.1	398578	Delftia acidovorans SPH-1, complete genome.	Delftia acidovorans SPH-1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans	
NC_010084	NC_010084,NC_010086,NC_010087	NC_010084.1,NC_010086.1,NC_010087.1	395019	Burkholderia multivorans ATCC 17616 chromosome 1, complete	Burkholderia multivorans ATCC 17616	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia multivorans	
NC_010103	NC_010103,NC_010104	NC_010103.1,NC_010104.1	483179	Brucella canis ATCC 23365 chromosome I, complete sequence.	Brucella canis ATCC 23365	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella canis	
NC_010162	NC_010162	NC_010162.1	448385	Sorangium cellulosum 'So ce 56' complete genome.	Sorangium cellulosum So ce56	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Sorangium	Sorangium cellulosum	
NC_010163	NC_010163	NC_010163.1	441768	Acholeplasma laidlawii PG-8A, complete genome.	Acholeplasma laidlawii PG-8A	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	Acholeplasma laidlawii	
NC_010168	NC_010168	NC_010168.1	288705	Renibacterium salmoninarum ATCC 33209, complete genome.	Renibacterium salmoninarum ATCC 33209	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Renibacterium	Renibacterium salmoninarum	
NC_010169	NC_010169,NC_010167	NC_010169.1,NC_010167.1	470137	Brucella suis ATCC 23445 chromosome I, complete sequence.	Brucella suis ATCC 23445	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Brucellaceae	Brucella	Brucella suis	
NC_010170	NC_010170	NC_010170.1	94624	Bordetella petrii strain DSM 12804, complete genome.	Bordetella petrii	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	null	
NC_010172	NC_010172	NC_010172.1	419610	Methylobacterium extorquens PA1, complete genome.	Methylobacterium extorquens PA1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium extorquens	
NC_010184	NC_010184	NC_010184.1	315730	Bacillus weihenstephanensis KBAB4, complete genome.	Bacillus weihenstephanensis KBAB4	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus weihenstephanensis	
NC_010320	NC_010320	NC_010320.1	399726	Thermoanaerobacter sp. X514, complete genome.	Thermoanaerobacter sp. X514	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	null	
NC_010321	NC_010321	NC_010321.1	340099	Thermoanaerobacter pseudethanolicus ATCC 33223, complete genome.	Thermoanaerobacter pseudethanolicus ATCC 33223	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	Thermoanaerobacter pseudethanolicus	
NC_010322	NC_010322	NC_010322.1	76869	Pseudomonas putida GB-1, complete genome.	Pseudomonas putida GB-1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	
NC_010336	NC_010336	NC_010336.1	484022	Francisella philomiragia subsp. philomiragia ATCC 25017, complete	Francisella philomiragia subsp. philomiragi	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella philomiragia	
NC_010337	NC_010337	NC_010337.2	498761	Heliobacterium modesticaldum Ice1, complete genome.	Heliobacterium modesticaldum Ice1	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Heliobacterium	Heliobacterium modesticaldum	
NC_010338	NC_010338	NC_010338.1	366602	Caulobacter sp. K31, complete genome.	Caulobacter sp. K31	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	null	
NC_010424	NC_010424	NC_010424.1	477974	Candidatus Desulforudis audaxviator MP104C, complete genome.	Candidatus Desulforudis audaxviator MP104C	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Candidatus Desulforudis	Candidatus Desulforudis audaxviator	
NC_010465	NC_010465	NC_010465.1	502800	Yersinia pseudotuberculosis YPIII, complete genome.	Yersinia pseudotuberculosis YPIII	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pseudotuberculosis	
NC_010468	NC_010468	NC_010468.1	481805	Escherichia coli ATCC 8739, complete genome.	Escherichia coli ATCC 8739	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	
NC_010473	NC_010473	NC_010473.1	316385	Escherichia coli str. K12 substr. DH10B, complete genome.	Escherichia coli str. K-12 substr. DH10B	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia	Escherichia coli	
NC_010501	NC_010501	NC_010501.1	390235	Pseudomonas putida W619, complete genome.	Pseudomonas putida W619	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida	
NC_010505	NC_010505	NC_010505.1	426355	Methylobacterium radiotolerans JCM 2831, complete genome.	Methylobacterium radiotolerans JCM 2831	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium radiotolerans	
NC_010508	NC_010508,NC_010515,NC_010512	NC_010508.1,NC_010515.1,NC_010512.1	406425	Burkholderia cenocepacia MC0-3 chromosome 1, complete sequence.	Burkholderia cenocepacia MC0-3	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia cenocepacia	
NC_010511	NC_010511	NC_010511.1	426117	Methylobacterium sp. 4-46, complete genome.	Methylobacterium sp. 4-46	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	null	
NC_010516	NC_010516	NC_010516.1	498213	Clostridium botulinum B1 str. Okra, complete genome.	Clostridium botulinum B1 str. Okra	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	
NC_010520	NC_010520	NC_010520.1	498214	Clostridium botulinum A3 str. Loch Maree, complete genome.	Clostridium botulinum A3 str. Loch Maree	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum	
NC_010524	NC_010524	NC_010524.1	395495	Leptothrix cholodnii SP-6, complete genome.	Leptothrix cholodnii SP-6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	null	Leptothrix	Leptothrix cholodnii	
NC_010528	NC_010528,NC_010530	NC_010528.1,NC_010530.1	977880	Cupriavidus taiwanensis str. LMG19424 chromosome 1, complete	Cupriavidus taiwanensis LMG 19424	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	Cupriavidus taiwanensis	
NC_010551	NC_010551,NC_010552,NC_010557	NC_010551.1,NC_010552.1,NC_010557.1	398577	Burkholderia ambifaria MC40-6 chromosome 1, complete sequence.	Burkholderia ambifaria MC40-6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia ambifaria	
NC_010554	NC_010554	NC_010554.1	529507	Proteus mirabilis strain HI4320, complete genome.	Proteus mirabilis HI4320	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	Proteus mirabilis	
NC_010556	NC_010556	NC_010556.1	262543	Exiguobacterium sibiricum 255-15, complete genome.	Exiguobacterium sibiricum 255-15	Bacteria	Firmicutes	Bacilli	Bacillales	null	Exiguobacterium	Exiguobacterium sibiricum	
NC_010571	NC_010571	NC_010571.1	452637	Opitutus terrae PB90-1, complete genome.	Opitutus terrae PB90-1	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	Opitutus terrae	
NC_010572	NC_010572	NC_010572.1	455632	Streptomyces griseus subsp. griseus NBRC 13350, complete genome.	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces griseus	
NC_010577	NC_010577	NC_010577.1	405441	Xylella fastidiosa M23, complete genome.	Xylella fastidiosa M23	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	
NC_010581	NC_010581	NC_010581.1	395963	Beijerinckia indica subsp. indica ATCC 9039, complete genome.	Beijerinckia indica subsp. indica ATCC 9039	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Beijerinckia	Beijerinckia indica	
NC_010602	NC_010602,NC_010843	NC_010602.1,NC_010843.1	456481	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'	Leptospira biflexa serovar Patoc strain 'Pato	Bacteria	Spirochaetes	Spirochaetia	null	Leptospiraceae	Leptospira	Leptospira biflexa	
NC_010617	NC_010617	NC_010617.1	378753	Kocuria rhizophila DC2201 DNA, complete genome.	Kocuria rhizophila DC2201	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Kocuria	Kocuria rhizophila	
NC_010622	NC_010622,NC_010623	NC_010622.1,NC_010623.1	391038	Burkholderia phymatum STM815 chromosome 1, complete sequence.	Burkholderia phymatum STM815	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia phymatum	
NC_010628	NC_010628	NC_010628.1	63737	Nostoc punctiforme PCC 73102, complete genome.	Nostoc punctiforme PCC 73102	Bacteria	Cyanobacteria	null	Nostocales	Nostocaceae	Nostoc	Nostoc punctiforme	
NC_010634	NC_010634	NC_010634.1	502801	Yersinia pseudotuberculosis PB1/+, complete genome.	Yersinia pseudotuberculosis PB1/+	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Yersinia	Yersinia pseudotuberculosis	
NC_010681	NC_010681,NC_010676	NC_010681.1,NC_010676.1	398527	Burkholderia phytofirmans PsJN chromosome 1, complete sequence.	Burkholderia phytofirmans PsJN	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	Burkholderia phytofirmans	
NC_010677	NC_010677	NC_010677.1	441952	Francisella tularensis subsp. mediasiatica FSC147, complete genome.	Francisella tularensis subsp. mediasiatic	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis	
NC_010682	NC_010682,NC_010678	NC_010682.1,NC_010678.1	402626	Ralstonia pickettii 12J chromosome 1, complete sequence.	Ralstonia pickettii 12J	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia pickettii	
NC_010688	NC_010688	NC_010688.1	340	Xanthomonas campestris pv. campestris complete genome, strain B100.	Xanthomonas campestris pv. campestris	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xanthomonas	Xanthomonas campestris	
NC_010694	NC_010694	NC_010694.1	465817	Erwinia tasmaniensis strain ET1/99 complete chromosome.	Erwinia tasmaniensis Et1/99	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	Erwinia tasmaniensis	
NC_010725	NC_010725	NC_010725.1	441620	Methylobacterium populi BJ001, complete genome.	Methylobacterium populi BJ001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium populi	
NC_010730	NC_010730	NC_010730.1	436114	Sulfurihydrogenibium sp. YO3AOP1, complete genome.	Sulfurihydrogenibium sp. YO3AOP1	Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium	null	
NC_010794	NC_010794	NC_010794.1	481448	Methylacidiphilum infernorum V4, complete genome.	Methylacidiphilum infernorum V4	Bacteria	Verrucomicrobia	null	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum	Methylacidiphilum infernorum	
NC_010814	NC_010814	NC_010814.1	398767	Geobacter lovleyi SZ, complete genome.	Geobacter lovleyi SZ	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter lovleyi	
NC_010842	NC_010842,NC_010845	NC_010842.1,NC_010845.1	355278	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)' chromosome	Leptospira biflexa serovar Patoc strain 'Pato	Bacteria	Spirochaetes	Spirochaetia	null	Leptospiraceae	Leptospira	Leptospira biflexa	
NC_010943	NC_010943	NC_010943.1	522373	Stenotrophomonas maltophilia K279a complete genome, strain K279a.	Stenotrophomonas maltophilia K279a	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	
NC_010994	NC_010994	NC_010994.1	491916	Rhizobium etli CIAT 652, complete genome.	Rhizobium etli CIAT 652	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium etli	
NC_010995	NC_010995	NC_010995.1	498211	Cellvibrio japonicus Ueda107, complete genome.	Cellvibrio japonicus Ueda107	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	Cellvibrio	Cellvibrio japonicus	
NC_011004	NC_011004	NC_011004.1	395960	Rhodopseudomonas palustris TIE-1, complete genome.	Rhodopseudomonas palustris TIE-1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Rhodopseudomonas	Rhodopseudomonas palustris	
NC_011071	NC_011071	NC_011071.1	391008	Stenotrophomonas maltophilia R551-3, complete genome.	Stenotrophomonas maltophilia R551-3	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	Stenotrophomonas maltophilia	
NC_011080	NC_011080	NC_011080.1	423368	Salmonella enterica subsp. enterica serovar Newport str. SL254,	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_011083	NC_011083	NC_011083.1	454169	Salmonella enterica subsp. enterica serovar Heidelberg str. SL476,	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_011094	NC_011094	NC_011094.1	439843	Salmonella enterica subsp. enterica serovar Schwarzengrund str.	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_011145	NC_011145	NC_011145.1	447217	Anaeromyxobacter sp. K, complete genome.	Anaeromyxobacter sp. K	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	null	
NC_011146	NC_011146	NC_011146.1	404380	Geobacter bemidjiensis Bem, complete genome.	Geobacter bemidjiensis Bem	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter bemidjiensis	
NC_011149	NC_011149	NC_011149.1	454166	Salmonella enterica subsp. enterica serovar Agona str. SL483,	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_011205	NC_011205	NC_011205.1	439851	Salmonella enterica subsp. enterica serovar Dublin str.	Salmonella enterica subsp. enterica serova	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	
NC_011365	NC_011365	NC_011365.1	272568	Gluconacetobacter diazotrophicus PAl 5, complete genome.	Gluconacetobacter diazotrophicus PA1 5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Gluconacetobacter	Gluconacetobacter diazotrophicus	
NC_011369	NC_011369	NC_011369.1	395492	Rhizobium leguminosarum bv. trifolii WSM2304, complete genome.	Rhizobium leguminosarum bv. trifolii WSM2304	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium leguminosarum	
NC_011658	NC_011658	NC_011658.1	405534	Bacillus cereus AH187, complete genome.	Bacillus cereus AH187	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_011660	NC_011660	NC_011660.1	552536	Listeria monocytogenes HCC23, complete genome.	Listeria monocytogenes HCC23	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	Listeria monocytogenes	
NC_011662	NC_011662	NC_011662.2	85643	Thauera sp. MZ1T, complete genome.	Thauera sp. MZ1T	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Thauera	null	
NC_011666	NC_011666	NC_011666.1	395965	Methylocella silvestris BL2, complete genome.	Methylocella silvestris BL2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocella	Methylocella silvestris	
NC_011725	NC_011725	NC_011725.1	405532	Bacillus cereus B4264, complete genome.	Bacillus cereus B4264	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_011726	NC_011726	NC_011726.1	41431	Cyanothece sp. PCC 8801, complete genome.	Cyanothece sp. PCC 8801	Bacteria	Cyanobacteria	null	Chroococcales	null	Cyanothece	null	
NC_011729	NC_011729	NC_011729.1	65393	Cyanothece sp. PCC 7424, complete genome.	Cyanothece sp. PCC 7424	Bacteria	Cyanobacteria	null	Chroococcales	null	Cyanothece	null	
NC_011757	NC_011757	NC_011757.1	440085	Methylobacterium extorquens CM4, complete genome.	Methylobacterium extorquens CM4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium extorquens	
NC_011761	NC_011761	NC_011761.1	243159	Acidithiobacillus ferrooxidans ATCC 23270, complete genome.	Acidithiobacillus ferrooxidans ATCC 23270	Bacteria	Proteobacteria	Acidithiobacillia	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus	Acidithiobacillus ferrooxidans	
NC_011769	NC_011769	NC_011769.1	883	Desulfovibrio vulgaris str. 'Miyazaki F', complete genome.	Desulfovibrio vulgaris str. 'Miyazaki F'	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	
NC_011770	NC_011770	NC_011770.1	557722	Pseudomonas aeruginosa LESB58 complete genome sequence.	Pseudomonas aeruginosa LESB58	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	
NC_011772	NC_011772	NC_011772.1	405531	Bacillus cereus G9842, complete genome.	Bacillus cereus G9842	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_011773	NC_011773	NC_011773.1	405535	Bacillus cereus AH820, complete genome.	Bacillus cereus AH820	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_011830	NC_011830	NC_011830.1	272564	Desulfitobacterium hafniense DCB-2, complete genome.	Desulfitobacterium hafniense DCB-2	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	Desulfitobacterium hafniense	
NC_011832	NC_011832	NC_011832.1	521011	Candidatus Methanosphaerula palustris E1-9c, complete genome.	Methanosphaerula palustris E1-9c	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula palustris	
NC_011837	NC_011837	NC_011837.1	583346	Clostridium kluyveri NBRC 12016 DNA, complete genome.	Clostridium kluyveri NBRC 12016	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium kluyveri	
NC_011852	NC_011852	NC_011852.1	557723	Haemophilus parasuis SH0165, complete genome.	Haemophilus parasuis SH0165	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	[Haemophilus] parasuis	
NC_011884	NC_011884	NC_011884.1	395961	Cyanothece sp. PCC 7425, complete genome.	Cyanothece sp. PCC 7425	Bacteria	Cyanobacteria	null	Chroococcales	null	Cyanothece	null	
NC_011886	NC_011886	NC_011886.1	452863	Arthrobacter chlorophenolicus A6, complete genome.	Arthrobacter chlorophenolicus A6	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	Pseudarthrobacter chlorophenolicus	
NC_011891	NC_011891	NC_011891.1	455488	Anaeromyxobacter dehalogenans 2CP-1, complete genome.	Anaeromyxobacter dehalogenans 2CP-1	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Anaeromyxobacteraceae	Anaeromyxobacter	Anaeromyxobacter dehalogenans	
NC_011894	NC_011894	NC_011894.1	460265	Methylobacterium nodulans ORS 2060, complete genome.	Methylobacterium nodulans ORS 2060	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	Methylobacterium nodulans	
NC_011898	NC_011898	NC_011898.1	394503	Clostridium cellulolyticum H10, complete genome.	[Clostridium] cellulolyticum H10	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	[Clostridium] cellulolyticum	
NC_011963	NC_011963,NC_011958	NC_011963.1,NC_011958.1	557760	Rhodobacter sphaeroides KD131 chromosome 1, complete sequence.	Rhodobacter sphaeroides KD131	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacter	Rhodobacter sphaeroides	
NC_011969	NC_011969	NC_011969.1	361100	Bacillus cereus Q1, complete genome.	Bacillus cereus Q1	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus	
NC_011979	NC_011979	NC_011979.1	316067	Geobacter daltonii FRC-32, complete genome.	Geobacter daltonii FRC-32	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter daltonii	
