progress	50.2																																														
Notes	Final	Who	known habitat	Isolation_ecosystem_category	Isolation_ecosystem_type	Kingdom	Phyla-Order	GOLD Project ID	Project Name	Other Names	Legacy ER Project ID	Legacy GOLD ID	NCBI BioProject Name	NCBI BioProject ID	NCBI BioProject Accession	NCBI Locus Tag	NCBI Bio Project Description	Project Comments	Project Description	Sequencing Comments	Library Method	Number Of Reads	Sequencing Depth	Vector	GC Percent	Chromosome Count	Plasmid Count	Cultured	Organism Type	ITS Proposal ID	ITS SPID	GPTS Proposal ID	PMO Project ID	Last Modified Date	Add Date	Genetically modified										Keywords for soil	
		Adina	Feces-Gastrointestinal tract-Host	Human	Digestive system	Bacteria	Bacteroidetes	Gp0004335	Bacteroides xylanisolvens XB1A		14582	Gc01458	Bacteroides xylanisolvens XB1A	39177	PRJNA39177	BXY			Bacteroides xylanisolvens XB1A genome sequencing project				18x		42	1	0	Yes	Natural					4/8/14	2/14/09												
		Adina	Feces-Gastrointestinal tract-Host-Intestinal tract	Animal	Digestive system	Bacteria	Bacteroidetes	Gp0000650	Bacteroides thetaiotaomicron VPI-5482		10560	Gc00126	Bacteroides thetaiotaomicron VPI-5482	399	PRJNA399	BT			Dominant member of mammalian intestinal microflora		"1059 BAC library (average insert size 90 Kb), 1.5kb, 4kb inserts"	67938	7x		43	1	1	Yes	Natural					8/18/14	11/27/07												
		Adina	Feces-Gastrointestinal tract-Host-Intestinal tract	Human	Digestive system	Bacteria	Bacteroidetes	Gp0000124	Bacteroides vulgatus ATCC 8482		10101	Gc00584	Bacteroides vulgatus ATCC 8482	13378	PRJNA13378	BVU			Dominant member of mammalian intestinal microflora		"5 kb, 40 kb"		12.6x		42	1	0	Yes	Natural					3/26/14	11/27/07												
		Adina	Fish-Host-Marine	Fish	none	Bacteria	Bacteroidetes	Gp0004777	"Cyclobacterium marinum Raj, DSM 745"	Cyclobacterium marinum DSM 745	14514	Gc01913	Cyclobacterium marinum DSM 745	51773	PRJNA51773	Cycma			Cyclobacterium marinum DSM 745 genome sequencing project						38	1	0	Yes	Natural	867		97601	401036	4/8/14	1/25/09												
		Adina	Fresh water	Fish	none	Bacteria	Bacteroidetes	Gp0011963	Flavobacterium branchiophilum FL-15		5281	Gc01974	Flavobacterium branchiophilum FL-15	67123	PRJNA67123	FBFL15			"Flavobacterium branchiophilum is the main causative agent of bacterial gill disease, a severe condition affecting various cultured freshwater fish species worldwide, in particular salmonids in Canada and Japan"						33	1	1	Yes	Natural					3/26/14	7/14/11												
		Adina	Fresh water	none	none	Bacteria	Bacteroidetes	Gp0001844	Salinibacter ruber M8		11742	Gc02351		48827	PRJNA48827	SRM							12x		66			Yes	Natural					3/26/14	11/27/07												
marine	0	Adina	Fresh water	Algae	none	Bacteria	Bacteroidetes	Gp0002232	Zobellia galactanivorans DsijT		12130	Gc02509	Zobellia galactanivorans	16099	PRJNA16099				Marine bacterium that produces agarase and carageenanase				12x					Yes	Natural					12/17/13	11/27/07												
		Adina	Fresh water-Host	Fish	Excretory system	Bacteria	Bacteroidetes	Gp0000127	Flavobacterium psychrophilum JIP02/86		10104	Gc00581	Flavobacterium psychrophilum JIP02/86	19979	PRJNA19979	FP			Flavobacterium psychrophilum JIP02/86 (ATCC 49511) is a virulent strain and will provide information on the pathogenic mechanisms of this organism.		"1.5, 3.0, 5.0 kb"	33900	9.3x	pUC19	33	1	0	Yes	Natural					8/18/14	11/27/07												
		Adina	Fresh water-Marine-Marine	Aquatic	Marine	Bacteria	Bacteroidetes	Gp0002132	Maribacter sp. HTCC2170		12034	Gc01430	Maribacter sp. HTCC2170	13595	PRJNA13595	FB			Novel strain resulting from culture method						37	1	0	Yes	Natural					4/8/14	11/27/07												
	1	Adina	Fresh water-Soil	Terrestrial	Soil	Bacteria	Bacteroidetes	Gp0000161	"Flavobacterium johnsoniae UW101, ATCC 17061"	Flavobacterium johnsoniae UW101	10135	Gc00550	Flavobacterium johnsoniae UW101	16082	PRJNA16082	Fjoh			Common soil and freshwater bacterium that is motile by gliding				11x		34	1	0	Yes	Natural			3429	16034	4/8/14	11/27/07												
		Adina	Gingival crevices-Host	Human	none	Bacteria	Bacteroidetes	Gp0008262	Capnocytophaga canimorsus Cc5		17494	Gc01889	Capnocytophaga canimorsus Cc5	50199	PRJNA50199	CCAN			Capnocytophaga canimorsus Cc5 genome sequencing project						36	1	0	Yes	Natural					4/8/14	7/6/10												
endosymbiont	?	Adina	Host	none	none	Bacteria	Bacteroidetes	Gp0022365	Blattabacterium sp. (Blaberus giganteus)		25992	Gc02355	Blattabacterium sp. (Blaberus giganteus)	163677	PRJNA163677	BGIGA			"Complete genome sequence of the obligate, nutrient-provisioning endosymbiont of the giant roach, Blaberus giganteus."		100-bp paired-end library				26	1	1	Yes	Natural					3/26/14	6/21/12												
		Adina	Host	none	none	Bacteria	Bacteroidetes	Gp0000935	Candidatus Amoebophilus asiaticus 5a2	Candidatus Amoebophilus asiaticus 5a2	10826	Gc00817	Candidatus Amoebophilus asiaticus 5a2	19981	PRJNA19981	Aasi			Obligate symbiont of a free-living amoeba		"8kb, fosmid 40kb, 454 pyrosequencing library"		10x		35	1	0	Yes	Natural			50007	16465	3/26/14	11/27/07												
host associated	0	Adina	Host	Insecta	Digestive system	Bacteria	Bacteroidetes	Gp0004236	Candidatus Azobacteroides pseudotrichonymphae gv. CFP2		232	Gc00882	Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	29025	PRJDA29025	CFPG			The genome sequence of this organism will provide information on the proteins involved in endosymbiosis.						33	1	4	Yes	Natural					3/26/14	11/14/08												
endosymbiont of parasitic wasps	?	Adina	Host	none	none	Bacteria	Bacteroidetes	Gp0001246	Candidatus Cardinium hertigii cEper1	Encarsia symbiont Cand. Cardinium hertigii	11139	Gc02339	Candidatus Cardinium hertigii	66421	PRJEA66421	CAHE				Special Project					36	1	1	No	Natural			50007		5/5/14	11/27/07												
endosymbiont	0	Adina	Host	Insecta	none	Bacteria	Bacteroidetes	Gp0006507	Candidatus Sulcia muelleri CARI		16416	Gc01422	Candidatus Sulcia muelleri CARI	43087	PRJNA43087	SMCARI			Candidatus Sulcia muelleri CARI genome project						21	1	0	Yes	Natural					4/8/14	1/12/10												
		Adina	Host	Insecta	none	Bacteria	Bacteroidetes	Gp0004820	Candidatus Sulcia muelleri DMIN	Candidatus Sulcia muelleri DMIN	335	Gc01253	Candidatus Sulcia muelleri DMIN	37785	PRJNA37785	DMIN			Candidatus Sulcia muelleri genome sequencing.	Special Project					23	1	0	No	Natural			99078	400376	3/26/14	4/27/09												
		Adina	Host	none	none	Bacteria	Bacteroidetes	Gp0001952	Candidatus Sulcia muelleri GWSS		11850	Gc00693	Candidatus Sulcia muelleri GWSS	19617	PRJNA19617	SMGWSS			A leafhopper symbiont			"118380 reads with 454, 14035386 reads with Solexa/Illumina"	"26.6x with 454, 132x with Solexa/Illumina"		22	1	0	Yes	Natural					3/26/14	11/27/07												
		Adina	Host	Insecta	none	Bacteria	Bacteroidetes	Gp0005487	Candidatus Sulcia muelleri SMDSEM		15449	Gc01075	Candidatus Sulcia muelleri SMDSEM	33829	PRJNA33829	SMDSEM			A leafhopper symbiont			523979	29x		23	1	0	Yes	Natural					3/26/14	8/20/09												
		Adina	Host	none	none	Bacteria	Bacteroidetes	Gp0017912	Candidatus Uzinura diaspidicola ASNER		7971	Gc0007971	Candidatus Uzinura diaspidicola str. ASNER	81015	PRJNA81015	ASNER			Candidatus Uzinura diaspidicola str. ASNER Genome sequencing						30	1	0	Yes	Natural					4/8/14	2/2/12												
		Adina	Host	none	none	Bacteria	Bacteroidetes	Gp0000579	"Porphyromonas asaccharolytica VPI 4198, DSM 20707"	Porphyromonas asaccharolytica DSM 20707	15142	Gc01748	Porphyromonas asaccharolytica DSM 20707	51745	PRJNA51745	Poras			Porphyromonas asaccharolytica DSM 20707 genome sequencing project.						52	1	0	Yes	Natural	867		97601	401087	4/8/14	8/3/09												
host associated	0	Adina	Host	Human	Digestive system	Bacteria	Bacteroidetes	Gp0001782	Prevotella intermedia 17		11680	Gc02303	Prevotella intermedia 17	175	PRJNA175	PIN17			Causes necrotizing periodontal disease				7x		43	2	0	Yes	Natural					3/26/14	11/27/07												
		Adina	Host	none	none	Bacteria	Bacteroidetes	Gp0001783	Prevotella ruminicola 23		11681	Gc01262	Prevotella ruminicola 23	10619	PRJNA10619	PRU			Common rumen inhabitant						48	1	0	Yes	Natural					8/18/14	11/27/07												
		Adina	Host	Birds	none	Bacteria	Bacteroidetes	Gp0025899	Riemerella anatipestifer RA-CH-1		29194	Gc02318	Riemerella anatipestifer RA-CH-1	172646	PRJNA172646	B739			"This bacterium is the causative agent of a septicemic disease in ducks, geese, turkeys and other birds."				100x		35	1	0	Yes	Natural					3/26/14	9/12/12												
host associated	0	Adina	Host-Human	Human	Digestive system	Bacteria	Bacteroidetes	Gp0001228	"Alistipes finegoldii AHN 2437, DSM 17242"	Alistipes finegoldii DSM 17242	11120	Gc02257	Alistipes finegoldii DSM 17242	40775	PRJNA40775	Alfi			This organism is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.		"Three genomic libraries:one 454 pyrosequence standard library, one 454 PE library (11.0 kb insert size), one Illumina library"		"133.3x Illumina, 27.8x pyrosequence"		57	1	0	Yes	Natural	867		97601	98020	4/8/14	11/27/07												
host associated	0	Adina	Host-Human	Human	Digestive system	Bacteria	Bacteroidetes	Gp0001176	"Capnocytophaga ochracea VPI 2845, DSM 7271"	Capnocytophaga ochracea DSM 7271	11059	Gc01027	Capnocytophaga ochracea DSM 7271	29403	PRJNA29403	Coch			Causes periodontitis		6.5Kb		9.9x Sanger; 25.2x 454	"pMCL200, pcc1Fos"	40	1	0	Yes	Natural	867		97601	98033	3/26/14	11/27/07												
host	0	Adina	Host-Human	Human	Skin	Bacteria	Bacteroidetes	Gp0000369	"Odoribacter splanchnicus 1651/6, DSM 20712"	Odoribacter splanchnicus DSM 20712	15137	Gc01667	Odoribacter splanchnicus DSM 20712	43469	PRJNA43469	Odosp			Odoribacter splanchnicus DSM 20712 genome sequencing project						43	1	0	Yes	Natural	867		97601	401076	8/18/14	8/2/09												
		Adina	Host-Human	Human	Excretory system	Bacteria	Bacteroidetes	Gp0004866	"Weeksella virosa 9751, DSM 16922"	Weeksella virosa DSM 16922	14886	Gc01619	Weeksella virosa DSM 16922	50581	PRJNA50581	Weevi			Weeksella virosa DSM 16922 genome sequencing project.			"384925 pyrosequence, 63008730 Illumina"	"2107.5x Illumina, 64.3x pyrosequence"		36	1	0	Yes	Natural	867		97601	401112	4/8/14	5/30/09												
host associated	0	Adina	Host-Human oral cavity	Human	Digestive system	Bacteria	Bacteroidetes	Gp0005264	Prevotella denticola F0289		15555	Gc01702	Prevotella denticola F0289	49293	PRJNA49293	HMPREF9137			Reference genome for Human Microbiome Project			549989	43x		50	1	0	Yes	Natural					3/26/14	8/23/09												
host associated	0	Adina	Host-Human oral cavity	Human	Digestive system	Bacteria	Bacteroidetes	Gp0004125	Prevotella melaninogenica ATCC 25845		14020	Gc01503	Prevotella melaninogenica ATCC 25845	31383	PRJNA31383	HMPREF0659			Reference genome for the Human Microbiome Project				136x		41	2	0	Yes	Natural					3/26/14	10/5/08												
host associated	0	Adina	Host-Human oral cavity	Human	Digestive system	Bacteria	Bacteroidetes	Gp0004176	Prevotella sp. F0039		13946	Gc0013946	Prevotella sp. oral taxon 299 str. F0039	40047	PRJNA40047	ACWZ			Reference Genome for the Human Microbiome Project			255809	20.19x		37	1	1	Yes	Natural					3/26/14	9/14/08												
host associated	0	Adina	Host-Human-Human oral cavity	Human	Digestive system	Bacteria	Bacteroidetes	Gp0006310	"Prevotella dentalis ES 2772, DSM 3688"	Prevotella dentalis DSM 3688	15927	Gc02465	Prevotella dentalis DSM 3688	56077	PRJNA56077	Prede			This strain is part of the GEBA (A Genomic Encyclopedia of Bacteria and Archaea) project.				30x		56	2	2	Yes	Natural	867		97601	401089	5/20/14	9/28/09												
endosymbiont	0	Adina	Host-Insect endosymbiont	Insecta	none	Bacteria	Bacteroidetes	Gp0001045	Blattabacterium sp. Bge		10926	Gc01136	Blattabacterium sp. (Blattella germanica) str. Bge	31103	PRJNA31103	BLBBGE			German cockroach endosymbiont		"1-2kb, 3-5kb"	9227 Sanger	1.5x Sanger	XL-TOPO	27	1	1	Yes	Natural					3/26/14	11/27/07												
endosymbiont	0	Adina	Host-Insect endosymbiont	Insecta	none	Bacteria	Bacteroidetes	Gp0004876	Blattabacterium sp. BPLAN		14726	Gc01128	Blattabacterium sp. (Periplaneta americana) str. BPLAN	32975	PRJNA32975	BPLAN			This strain will be used for comparative genome analysis.			"225,047"			28	1	1	Yes	Natural					3/26/14	4/10/09												
		Adina	Host-Intestinal tract	none	none	Bacteria	Bacteroidetes	Gp0001032	Bacteroides fragilis 638R		10914	Gc01489	Bacteroides fragilis 638R	50405	PRJNA50405	BF638R			Bacteroides fragilis 638R genome sequencing project						43	1	0	Yes	Natural					4/8/14	11/27/07												
host	0	Adina	Host-Intestinal tract	Human	Skin	Bacteria	Bacteroidetes	Gp0000489	Bacteroides fragilis NCTC 9343		10425	Gc00260	Bacteroides fragilis NCTC 9343	46	PRJNA46	BF			Opportunistic pathogen of mammalian intestinal tract		2-4 kb		10x	pUC18	43	1	1	Yes	Natural					4/8/14	11/27/07												
		Adina	Host-Intestinal tract	Human	none	Bacteria	Bacteroidetes	Gp0000537	Bacteroides fragilis YCH46		10464	Gc00222	Bacteroides fragilis YCH46	13067	PRJNA13067	BF			Opportunistic pathogen of mammalian intestinal tract		"1-2 kb, 4-5 kb"		9.6x	pUC18	43	1	1	Yes	Natural					3/26/14	11/27/07												
		Adina	Host-Intestinal tract	none	none	Bacteria	Bacteroidetes	Gp0000125	Parabacteroides distasonis ATCC 8503		10102	Gc00583	Parabacteroides distasonis ATCC 8503	13485	PRJNA13485	BDI			Dominant member of mammalian intestinal microflora		"5 kb, 40 kb"		13.2x		45	1	0	Yes	Natural					3/26/14	11/27/07												
host associated	0	Adina	Host-Oral cavity	Human	Digestive system	Bacteria	Bacteroidetes	Gp0001027	Tannerella forsythensis ATCC 43037		10910	Gc02056	Tannerella forsythia ATCC 43037	319	PRJNA319	BFO			key agent in the progression of periodontal disease and is involved in bone loss and loss of attachment of teeth.				12x		47	1	0	Yes	Natural					4/8/14	11/27/07												
host associated	0	Adina	Host-Pig	Animal	Digestive system	Bacteria	Bacteroidetes	Gp0004493	"Bacteroides helcogenes P 36-108, DSM 20613"	Bacteroides helcogenes P 36-108	14503	Gc01593	Bacteroides helcogenes P 36-108	41913	PRJNA41913	bache			Bacteroides helcogenes P 36-108 genome sequencing project				56.3x Illumina; 36.7x pyrosequence		45	1	0	Yes	Natural	867		97601	401026	4/8/14	1/23/09												
		Adina	Hot spring-Marine	none	none	Bacteria	Bacteroidetes	Gp0015350	Rhodothermus marinus SG0.5JP17-172	Rhodothermus marinus SG0.5JP17-172	22077	Gc0022077	Rhodothermus marinus SG0.5JP17-172	56095	PRJNA56095	Rhom172			Rhodothermus marinus SG0.5JP17-172 genome sequencing project						64	1	2	Yes	Natural			201792	403108	4/8/14	1/27/12												
endosymbiont	?	Adina	Insect	none	none	Bacteria	Bacteroidetes	Gp0096782	Endosymbiont of Llaveia axin axin		74782	Gc0074782	endosymbiont of Llaveia axin axin	225831	PRJNA225831	FNIIJ			The main goal of this study is to analize the gene content of the flavobacterium endosymbiont genome to make inferences about its role in the symbiotic relationship with it's insect host and to do comparative genomics with another bacterial reduced genomes to compare their genetic composition.				1500x		33	1	0	No	Natural					8/18/14	6/26/14												
endosymbiont	0	Adina	Insect endosymbiont	Insecta	none	Bacteria	Bacteroidetes	Gp0014251	Candidatus Sulcia muelleri PSPU	Sulcia muelleri PSPU	6382	Gc0006382	Candidatus Sulcia muelleri PSPU	244455	PRJDB96	SMSPU							2984x					Yes	Natural					4/23/14	1/28/12												
Marine	0	Adina	Marine	Algae	none	Bacteria	Bacteroidetes	Gp0004500	"Cellulophaga algicola IC166, DSM 14237"	Cellulophaga algicola DSM 14237	14510	Gc01592	Cellulophaga algicola DSM 14237	41529	PRJNA41529	Celal			Cellulophaga algicola DSM 14237 Genome sequencing			"697305 pyrosequence, 20331123 Illumina"	"146.0x Illumina, 53.5x pyrosequence"		34	1	0	Yes	Natural	867		97601	401033	4/8/14	1/23/09												
Marine	0	Adina	Marine	Aquatic	Marine	Bacteria	Bacteroidetes	Gp0011754	Saprospira grandis Lewin		5425	Gc02146	Saprospira grandis str. Lewin	67697	PRJNA67697	SGRA			Saprospira grandis str. Lewin genome sequencing project				30.4		46	1	1	Yes	Natural					4/8/14	7/14/11												
	1	Adina	Mud	Terrestrial	Soil	Bacteria	Bacteroidetes	Gp0004501	"Cellulophaga lytica LIM-21, DSM 7489"	Cellulophaga lytica DSM 7489	14511	Gc01668	Cellulophaga lytica DSM 07489	50743	PRJNA50743	Celly			Cellulophaga lytica DSM 7489 genome sequencing project.				"1605.2x Illumina, 22.9x pyrosequence"		32	1	0	Yes	Natural	867		97601	401034	4/8/14	1/23/09												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0047620	Bacteroides sp. CF50		57439	Gc0057439	Bacteroides sp. CF50	218492	PRJNA218492	BRDCF									42	1		Yes	Natural					5/11/14	10/11/13												
endosymbiont	?	Adina	none	Insecta	none	Bacteria	Bacteroidetes	Gp0017322	Blattabacterium sp. (Blatta orientalis) Tarazona		7824	Gc0007824	Blattabacterium sp. (Blatta orientalis) str. Tarazona	71049	PRJNA71049	BLBBOR			Blattabacterium sp. (Blatta orientalis) Genome Sequencing						28	1	1	Yes	Natural					3/26/14	2/2/12												
endosymbiont	?	Adina	none	none	none	Bacteria	Bacteroidetes	Gp0012147	Blattabacterium sp. (Mastotermes darwiniensis) MADAR		5738	Gc02015	Blattabacterium sp. (Mastotermes darwiniensis) str. MADAR	70095	PRJNA70095	MADAR			Blattabacterium (Mastotermes darwiniensis) sp. MADAR						28	1	1	Yes	Natural					3/26/14	8/11/11												
endosymbiont	?	Adina	none	none	none	Bacteria	Bacteroidetes	Gp0067898	Blattabacterium sp. (Nauphoeta cinerea)		59499	Gc0059499	Blattabacterium sp. (Nauphoeta cinerea)	196320	PRJNA196320	K645			Complete Genome Sequence of the Endosymbiont Blattabacterium from the cockroach Nauphoeta cinerea.						26	1	1	Yes	Natural					4/15/14	12/4/13												
endosymbiont	?	Adina	none	none	none	Bacteria	Bacteroidetes	Gp0037219	Blattabacterium sp. (Panesthia angustipennis spadica) BPAA		43343	Gc0043343	Blattabacterium sp. (Panesthia angustipennis spadica) BPAA	193085	PRJDB477		"Complete genome sequence of the obligate, nutrient-provisioning endosymbiont of the wood-feeding cockroach, Panesthia angustipennis"	"In addition to harbouring intestinal symbionts, some animal species also possess intracellular symbiotic microbes. The relative contributions of gut-resident and intracellular symbionts to host metabolism, and how they coevolve are not well understood. Cockroaches and the termite Mastotermes darwiniensis present a unique opportunity to examine the evolution of spatially separated symbionts, as they harbour gut symbionts and the intracellular symbiont Blattabacterium cuenoti. The genomes of B. cuenoti from M. darwiniensis and the social wood-feeding cockroach Cryptocercus punctulatus are each missing most of the pathways for the synthesis of essential amino acids found in the genomes of relatives from non-wood-feeding hosts. Hypotheses to explain this pathway degradation include: (i) feeding on microbes present in rotting wood by ancestral hosts; (ii) the evolution of high-fidelity transfer of gut microbes via social behaviour. To test these hypotheses, we sequenced the B. cuenoti genome of a third wood-feeding species, the phylogenetically distant and non-social Panesthia angustipennis. We show that host wood-feeding does not necessarily lead to degradation of essential amino acid synthesis pathways in B. cuenoti, and argue that ancestral high-fidelity transfer of gut microbes best explains their loss in strains from M. darwiniensis and C. punctulatus."					90x		26	1	0	Yes	Natural					4/8/14	4/2/13												
endosymbiont	?	Adina	none	Insecta	none	Bacteria	Bacteroidetes	Gp0012830	Blattabacterium sp. Cpu		6193	Gc02034	Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu	71047	PRJNA71047	BLBCPU			obligatory fat body endosymbiont of the wood roach Cryptocercus punctulatus (Appalachians)						24	1	1	Yes	Natural					4/8/14	12/2/11												
endosymbiont	0	Adina	none	none	none	Bacteria	Bacteroidetes	Gp0101167	Candidatus Sulcia muelleri BGSS		76582	Gc0076582	Candidatus Sulcia muelleri	255335	PRJNA255335	IM46			Comparative genomic analyses of the obligate bacterial symbionts in pestiferous leafhoppers.				14.7x		23	1	0	Yes	Natural					9/22/14	7/25/14												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0042895	Candidatus Sulcia muelleri Sulcia-ALF		50165	Gc0050165	Candidatus Sulcia muelleri Sulcia-ALF	206992	PRJNA206992	SULALF	"Primary symbiont, Candidatus Sulcia muelleri, of the Aster Leafhopper, Macrosteles quadrilineatus (Hemiptera: Cicadellidae)."								24	1	0	Yes	Natural					4/8/14	6/13/13												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0102080	Cellulophaga lytica HI1		76853	Gc0076853	Cellulophaga lytica	256111	PRJNA256111	IX49			PacBio SMRT sequencing of Cellulophaga lytica (HI1) genome.				100x			1	0	Yes	Natural					9/17/14	8/8/14												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0033536	Dokdonia sp. PRO95		38583	Gc0038583	Dokdonia sp. PRO95	176625	PRJNA176625	D017			Comparitive genome analysis.				500x			1	0	Yes	Natural					6/9/14	11/8/12												
	0	Adina	none	none	none	Bacteria	Bacteroidetes	Gp0089941	Draconibacterium orientale FH5		71496	Gc0071496	Draconibacterium orientale	240267	PRJNA240267	FH5T			"Draconibacterium orientale strain FH5T is the type strain of Draconibacterium orientale gen. nov., sp. nov., a new species within the proposed new family Draconibacteriaceae in class Bacteroidia. This strain was isolated from a marine sediment sample from coast of Weihai,China"						41	1		Yes	Natural					8/18/14	3/22/14												
		Adina	none	Aquatic	Freshwater	Bacteria	Bacteroidetes	Gp0005084	Flavobacteriaceae bacterium 3519-10		358	Gc01073	Flavobacteriaceae bacterium 3519-10	38559	PRJNA38559	FIC			Flavobacteriaceae bacterium 3519 genome sequencing project						43	1	1	Yes	Natural					3/26/14	6/8/09												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0086800	Flavobacterium psychrophilum FPG101		69841	Gc0069841	Flavobacterium psychrophilum FPG101	236036	PRJNA236036	FPG101			Sequence of the genome of Flavobacterium psychrophilum FPG101 which causes the bacterial cold water disease on salmonids and the rainbow trout fry disease				100x		33	1	0	Yes	Natural					9/22/14	2/14/14												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0102380	Hymenobacter sp. APR13		77153	Gc0077153	Hymenobacter sp. APR13	210966	PRJNA210966	N008			Sequence and assemble the complete genome of Hymenobacter and to do research on it carotenoid and other metabolites.						62	1	3	Yes	Natural					8/18/14	8/8/14												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0086835	Hymenobacter swuensis DY53		69876	Gc0069876	Hymenobacter swuensis DY53	234054	PRJNA234054	HSW			"Hymenobacter swuensis is Gram-negative and non-motile bacteria exhibiting a gamma-radiation-resistance. Completely sequenced genome of H. swuensis have provided the genetic features of new radiation resistant bacteria. This project was supported by Nuclear R&D program of Ministry of Education, Science and Technology (MEST), Republic of Korea."						60	1	3	Yes	Natural					5/11/14	2/14/14												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0034435	Riemerella anatipestifer RA-CH-2		39766	Gc0039766	Riemerella anatipestifer RA-CH-2	183917	PRJNA183917	G148			In order to study the biological function of Riemerella anatipestifer.				100x		35	1	0	Yes	Natural					8/18/14	1/15/13												
		Adina	none	Birds	none	Bacteria	Bacteroidetes	Gp0005871	Riemerella anatipestifer RA-GD		16118	Gc01683	Riemerella anatipestifer RA-GD	49039	PRJNA49039	RIA			Riemerella anatipestifer genome sequencing project						35	1	0	Yes	Natural					4/8/14	11/2/09												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0101052	Rikenellaceae bacterium M3		76467	Gc0076467	Rikenellaceae bacterium M3	252820	PRJEB5062	BN938			"A novel bacterium was isolated from the crop of medicinal leech, Hirudo verbana. This bacterium was found to represent a new genus within the family Rikenellaceae of the phylum Bacteroidetes. The full genome sequence of the type strain (str. M3) was obtained in cooperation with Pacific Biosciences. Functional annotation was initially performed with RAST followed by manual curation."						45	1	0	Yes	Natural					8/18/14	7/25/14												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0008428	Sphingobacterium sp. 21	Sphingobacterium sp. 21	17729	Gc01695	Sphingobacterium sp. 21	51631	PRJNA51631	Sph21			Sphingobacterium sp. 21 whole genome sequencing project						41	1	0	Yes	Natural			201792	400063	4/8/14	8/24/10												
		Adina	none	none	none	Bacteria	Bacteroidetes	Gp0106440	Sphingobacterium sp. ML3W		78787	Gc0078787	Sphingobacterium sp. ML3W	259305	PRJNA259305	KO02			Isolate from study of microbial communities on bat wings.				75x			1	0	Yes	Natural					9/29/14	9/22/14												
		Adina	Plants	Plants	none	Bacteria	Bacteroidetes	Gp0001933	"Dyadobacter fermentans NS114, DSM 18053"	Dyadobacter fermentans DSM 18053	11831	Gc01069	Dyadobacter fermentans DSM 18053	20829	PRJNA20829	Dfer			Isolated from corn		"8Kb, Fosmid"	86260	10.6x Sanger	"pMCL200, pcc1Fos"	52	1	0	Yes	Natural	867		97601	98001	4/8/14	11/27/07												
	1	Adina	Plants-Soil	Terrestrial	Agricultural field	Bacteria	Bacteroidetes	Gp0002779	"Paludibacter propionicigenes WB4, DSM 17365"	Paludibacter propionicigenes WB4	15145	Gc01549	Paludibacter propionicigenes WB4	42009	PRJNA42009	Palpr			Paludibacter propionicigenes WB4 genome sequencing project				"337.6x Illumina, 28.1x pyrosequence"		39	1	0	Yes	Natural	867		97601	401080	4/8/14	8/3/09												
		Adina	Ponds	Aquatic	Non-marine Saline and Alkaline	Bacteria	Bacteroidetes	Gp0000409	"Salinibacter ruber M31, DSM 13855"		10355	Gc00331	Salinibacter ruber DSM 13855	16159	PRJNA16159	SRU			"Extremely halophilic, strictly aerobic, red-pigmented bacterium"		"2-3 kb, 8-10 kb"		4x		66	1	1	Yes	Natural					8/18/14	11/27/07												
		Adina	Sea sand	Aquatic	Marine	Bacteria	Bacteroidetes	Gp0004418	"Marivirga tractuosa H-43, DSM 4126"	Marivirga tractuosa DSM 4126	14447	Gc01555	Flexibacter tractuosus DSM 4126	37901	PRJNA37901	Ftrac			Flexibacter tractuosus DSM 4126 Genome Sequencing						36	1	1	Yes	Natural	867		97601	98054	4/21/14	1/17/09												
		Adina	Sea water	Aquatic	Marine	Bacteria	Bacteroidetes	Gp0009718	Lacinutrix algicola 5H-3-7-4	Lacinutrix algicola 5H-3-7-4	1928	Gc01838	Lacinutrix algicola 5H-3-7-4	62899	PRJNA62899	Lacal			Lacinutrix sp. 5H-3-7-4 genome sequencing project						31	1		Yes	Natural			300564	402773	4/8/14	2/9/11												
		Adina	Sea water-Sediment	Aquatic	Marine	Bacteria	Bacteroidetes	Gp0009598	Krokinobacter diaphorus 4H-3-7-5	Krokinobacter diaphorus	1929	Gc01751	Krokinobacter diaphorus 4H-3-7-5	62895	PRJNA62895	Krodi			Krokinobacter diaphorus 4H-3-7-5 genome sequencing project						37	1	0	Yes	Natural			300564	402771	4/8/14	2/9/11												
		Adina	Sludge	Wastewater	none	Bacteria	Bacteroidetes	Gp0001995	"Haliscomenobacter hydrossis O, DSM 1100"	Haliscomenobacter hydrossis DSM 1100	15207	Gc01752	Haliscomenobacter hydrossis DSM 1100	48289	PRJNA48289	Halhy			Haliscomenobacter hydrossis DSM 1100 genome sequencing project.				"165.3x Illumina, 38.5x pyrosequence"		47	1	3	Yes	Natural	867		97601	401057	4/8/14	8/7/09												
